Gene	annotation	synonym
b2145	DUF2542 domain-containing protein YeiS	yeiS
b2146	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT	preT
b2147	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA	preA
b2148	D-galactose/methyl-galactoside ABC transporter membrane subunit	mglC
b2149	D-galactose/methyl-galactoside ABC transporter ATP binding subunit	mglA
b2150	D-galactose/methyl-galactoside ABC transporter periplasmic binding protein	mglB
b2151	DNA-binding transcriptional dual regulator GalS	galS
b2152	DUF418 domain-containing protein YeiB	yeiB
b2153	GTP cyclohydrolase 1	folE
b2154	S-formylglutathione hydrolase/S-lactoylglutathione hydrolase	yeiG
b2155	ferric dihyroxybenzoylserine outer membrane transporter	cirA
b2156	lysine:H(+) symporter	lysP
b2157	putative LysR-type transcriptional regulator YeiE	yeiE
b2158	conserved inner membrane protein YeiH	yeiH
b2159	endonuclease IV	nfo
b2160	putative sugar kinase YeiI	yeiI
b2161	putative nucleoside transporter	nupX
b2162	pyrimidine-specific ribonucleoside hydrolase RihB	rihB
b2163	putative DNA-binding transcriptional regulator YeiL	yeiL
b2164	putative pseudouridine transporter	psuT
b2165	pseudouridine-5'-phosphate glycosidase	psuG
b2166	putative pseudouridine kinase	psuK
b2167	fructose-specific PTS multiphosphoryl transfer protein FruA	fruA
b2168	1-phosphofructokinase	fruK
b2169	fructose-specific PTS multiphosphoryl transfer protein FruB	fruB
b2170	sugar exporter SetB	setB
b4502	PF03692 putative metal-chelating domain-containing protein YeiW	yeiW
b2171	elongation factor P family protein	yeiP
b2172	putative dehydrogenase%2C NAD-dependent	yeiQ
b2173	zinc-binding GTPase YeiR	yeiR
b2174	Kdo2-lipid A phosphotransferase	lpxT
b2175	peptidoglycan DD-endopeptidase/peptidoglycan LD-carboxypeptidase	mepS
b2176	putative c-di-GMP phosphodiesterase PdeN	pdeN
b2177	putative oligopeptide ABC transporter periplasmic binding protein	yejA
b2178	putative oligopeptide ABC transporter membrane subunit YejB	yejB
b2179	putative oligopeptide ABC transporter membrane subunit YejE	yejE
b2180	putative oligopeptide ABC transporter ATP binding subunit	yejF
b2181	protein YejG	yejG
b2182	multidrug efflux pump Bcr	bcr
b2183	16S rRNA pseudouridine(516) synthase	rsuA
b2184	putative DNA repair helicase RadD	radD
b2185	50S ribosomal subunit protein L25	rplY
b2186	nucleoid-associated protein YejK	yejK
b2187	DUF1414 domain-containing protein YejL	yejL
b2188	putative cardiolipin transport protein	yejM
b2190	adhesin-like autotransporter YejO	yejO
b2192	IS5 transposase and trans-activator	insH-8
b2193	DNA-binding transcriptional dual regulator NarP	narP
b2194	holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH	ccmH
b2195	holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG	ccmG
b2196	holocytochrome c synthetase membrane subunit CcmF	ccmF
b2197	periplasmic heme chaperone	ccmE
b2198	heme trafficking system membrane protein CcmD	ccmD
b2199	heme trafficking system membrane protein CcmC	ccmC
b2200	heme trafficking system membrane protein CcmB	ccmB
b2201	heme trafficking system ATP-binding protein	ccmA
b2202	periplasmic nitrate reductase cytochrome c protein	napC
b2203	periplasmic nitrate reductase cytochrome c550 protein	napB
b2204	ferredoxin-type protein NapH	napH
b2205	ferredoxin-type protein NapG	napG
b2206	periplasmic nitrate reductase subunit NapA	napA
b2207	NapA signal peptide-binding chaperone NapD	napD
b2208	ferredoxin-type protein	napF
b4604	uncharacterized protein YojO	yojO
b2209	serine protease inhibitor ecotin	eco
b2210	malate:quinone oxidoreductase	mqo
b2211	ABC transporter family protein/microcin J25 efflux protein	yojI
b2212	DNA oxidative demethylase	alkB
b2213	DNA-binding transcriptional dual regulator/DNA repair protein Ada	ada
b2214	FAD:protein FMN transferase	ftp
b2215	outer membrane porin C	ompC
b2216	RcsD phosphotransferase	rcsD
b2217	DNA-binding transcriptional activator RcsB	rcsB
b2218	sensory histidine kinase RcsC	rcsC
b2219	sensory histidine kinase AtoS	atoS
b2220	DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC	atoC
b2221	acetyl-CoA:acetoacetyl-CoA transferase subunit alpha	atoD
b2222	acetyl-CoA:acetoacetyl-CoA transferase subunit beta	atoA
b2223	short chain fatty acid transporter	atoE
b2224	acetyl-CoA acetyltransferase	atoB
b2225	DUF2135 domain-containing protein YfaP	yfaP
b2226	tandem DUF2300 domain-containing protein YfaQ	yfaQ
b4500	putative macroglobulin family protein%2C N-terminal fragment	yfaS
b2229	DUF1175 domain-containing protein YfaT	yfaT
b2230	DUF2138 domain-containing protein YfaA	yfaA
b2231	DNA gyrase subunit A	gyrA
b2232	bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase	ubiG
b2233	putative autotransporter adhesin YfaL	yfaL
b4605	protein YpaB	ypaB
b2234	ribonucleoside-diphosphate reductase 1 subunit alpha	nrdA
b2235	ribonucleoside-diphosphate reductase 1 subunit beta	nrdB
b2236	ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE	yfaE
b2237	putative lipopolysaccharide kinase InaA	inaA
b2238	putative uncharacterized protein YfaH	yfaH
b2239	glycerophosphoryl diester phosphodiesterase	glpQ
b2240	sn-glycerol 3-phosphate:phosphate antiporter	glpT
b2241	anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA
b2242	anaerobic glycerol-3-phosphate dehydrogenase subunit B	glpB
b2243	anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC
b2244	inactive recombination-promoting nuclease-like protein RpnE	rpnE
b4543	protein YpaA	ypaA
b2245	2-keto-3-deoxy-L-rhamnonate aldolase	yfaU
b2246	putative transporter YfaV	yfaV
b2247	L-rhamnonate dehydratase	rhmD
b2248	putative DNA-binding transcriptional regulator YfaX	yfaX
b2249	IPR008135 CinA family protein YfaY	yfaY
b2250	putative porin YfaZ	yfaZ
b2251	pyrimidine deoxynucleotide diphosphatase NudI	nudI
b2252	putative lipopolysaccharide core heptose(II)-phosphate phosphatase	ais
b2253	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	arnB
b2254	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	arnC
b2255	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	arnA
b2256	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	arnD
b2257	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	arnT
b4544	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit	arnE
b2258	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	arnF
b2259	signal transduction protein PmrD	pmrD
b2260	o-succinylbenzoate--CoA ligase	menE
b2261	o-succinylbenzoate synthase	menC
b2262	1%2C4-dihydroxy-2-naphthoyl-CoA synthase	menB
b2263	2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase	menH
b2264	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	menD
b2265	isochorismate synthase MenF	menF
b2266	tail anchored inner membrane protein	elaB
b2267	putative N-acetyltransferase ElaA	elaA
b2268	ribonuclease BN	rbn
b2269	protease ElaD	elaD
b2270	IPR002035/DUF3520 domain-containing protein YfbK	yfbK
b2271	putative peptidase YfbL	yfbL
b2272	DUF1877 domain-containing protein YfbM	yfbM
b2273	uncharacterized protein YfbN	yfbN
b2274	uncharacterized protein YfbO	yfbO
b2275	uncharacterized protein YfbP	yfbP
b2276	NADH:quinone oxidoreductase subunit N	nuoN
b2277	NADH:quinone oxidoreductase subunit M	nuoM
b2278	NADH:quinone oxidoreductase subunit L	nuoL
b2279	NADH:quinone oxidoreductase subunit K	nuoK
b2280	NADH:quinone oxidoreductase subunit J	nuoJ
b2281	NADH:quinone oxidoreductase subunit I	nuoI
b2282	NADH:quinone oxidoreductase subunit H	nuoH
b2283	NADH:quinone oxidoreductase subunit G	nuoG
b2284	NADH:quinone oxidoreductase subunit F	nuoF
b2285	NADH:quinone oxidoreductase subunit E	nuoE
b2286	NADH:quinone oxidoreductase subunit CD	nuoC
b2287	NADH:quinone oxidoreductase subunit B	nuoB
b2288	NADH:quinone oxidoreductase subunit A	nuoA
b2289	DNA-binding transcriptional dual regulator LrhA	lrhA
b2290	glutamate--pyruvate aminotransferase AlaA	alaA
b2291	dCMP phosphohydrolase	yfbR
b2292	putative transporter YfbS	yfbS
b2293	hexitol phosphatase A	hxpA
b2294	UPF0304 family protein YfbU	yfbU
b2295	UPF0208 membrane protein YfbV	yfbV
b2296	acetate kinase	ackA
b2297	phosphate acetyltransferase	pta
b2298	putative transporter YfcC	yfcC
b2299	putative Nudix hydrolase	yfcD
b2300	phosphodiesterase YfcE	yfcE
b2301	glutathione S-transferase YfcF	yfcF
b2302	disulfide reductase	yfcG
b2303	dihydroneopterin triphosphate 2'-epimerase	folX
b2304	putative NAD-dependent epimerase YfcH	yfcH
b2305	recombination-promoting nuclease RpnB	rpnB
b2306	lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C ATP binding subunit	hisP
b2307	lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C membrane subunit HisM	hisM
b2308	lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C membrane subunit HisQ	hisQ
b2309	histidine ABC transporter periplasmic binding protein	hisJ
b2310	lysine/arginine/ornithine ABC transporter periplasmic binding protein	argT
b2311	flavin prenyltransferase	ubiX
b2312	amidophosphoribosyltransferase	purF
b2313	colicin V production protein	cvpA
b2314	cell division protein DedD	dedD
b2315	bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase	folC
b2316	acetyl-CoA carboxyltransferase subunit beta	accD
b2317	DedA family protein DedA	dedA
b2318	tRNA pseudouridine(38-40) synthase	truA
b2319	putative semialdehyde dehydrogenase Usg	usg
b2320	erythronate-4-phosphate dehydrogenase	pdxB
b2321	putative flagella assembly protein	flk
b2322	putative transporter YfcJ	yfcJ
b2323	beta-ketoacyl-[acyl carrier protein] synthase I	fabB
b2324	fused 5-methylaminomethyl-2-thiouridine-forming methyltransferase and FAD-dependent demodification enzyme	mnmC
b2325	protein YfcL	yfcL
b2326	EF-P-Lys34 hydroxylase	epmC
b2327	conserved inner membrane protein YfcA	yfcA
b2328	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	mepA
b2329	chorismate synthase	aroC
b2330	50S ribosomal subunit protein L3 N(5)-glutamine methyltransferase	prmB
b2331	putative endonuclease SmrB	smrB
b2332	DUF2544 domain-containing protein YfcO	yfcO
b2333	putative fimbrial protein YfcP	yfcP
b2334	putative fimbrial protein YfcQ	yfcQ
b2335	putative fimbrial protein YfcR	yfcR
b2336	putative fimbrial chaperone YfcS	yfcS
b4661	putative outer membrane usher protein YfcU	yfcU
b2339	putative fimbrial protein YfcV	yfcV
b2340	phosphohistidine phosphatase	sixA
b2341	3-hydroxyacyl-CoA dehydrogenase FadJ	fadJ
b2342	3-ketoacyl-CoA thiolase FadI	fadI
b2343	DUF406 domain-containing protein YfcZ	yfcZ
b2344	long-chain fatty acid outer membrane channel/bacteriophage T2 receptor	fadL
b2345	protein YfdF	yfdF
b2346	intermembrane phospholipid transport system - outer membrane lipoprotein MlaA	mlaA
b2347	inner membrane protein YfdC	yfdC
b2349	CPS-53 (KpLE1) prophage%3B prophage CPS-53 integrase	intS
b2350	CPS-53 (KpLE1) prophage%3B putative bactoprenol-linked glucose translocase	yfdG
b2351	CPS-53 (KpLE1) prophage%3B bactoprenol glucosyl transferase	yfdH
b2352	CPS-53 (KpLE1) prophage%3B serotype specific glucosyl transferase	yfdI
b2354	CPS-53 (KpLE1) prophage%3B putative tail fiber assembly protein YfdK	yfdK
b2355	CPS-53 (KpLE1) prophage%3B putative uncharacterized protein YfdL	yfdL
b2356	CPS-53 (KpLE1) prophage%3B putative methyltransferase	yfdM
b2357	CPS-53 (KpLE1) prophage%3B protein YzyA	yfdN
b2358	CPS-53 (KpLE1) prophage%3B putative defective phage replication protein O	yfdO
b2359	CPS-53 (KpLE1) prophage%3B protein YfdP	yfdP
b2360	CPS-53 (KpLE1) prophage%3B protein YfdQ	yfdQ
b2361	CPS-53 (KpLE1) prophage%3B 5'-deoxynucleotidase	yfdR
b2362	CPS-53 (KpLE1) prophage%3B protein YfdS	yfdS
b2363	CPS-53 (KpLE1) prophage%3B protein YfdT	yfdT
b4545	CPS-53 (KpLE1) prophage%3B putative uncharacterized protein YpdJ	ypdJ
b4501	CPS-53 (KpLE1) prophage%3B prophage CPS-53 recombination directionality factor and response regulator inhibitor	torI
b2364	DNA-binding transcriptional dual regulator DsdC	dsdC
b2365	D-serine transporter	dsdX
b2366	D-serine ammonia-lyase	dsdA
b2367	tripartite efflux pump membrane subunit EmrY	emrY
b2368	tripartite efflux pump membrane fusion protein EmrK	emrK
b2369	DNA-binding transcriptional activator EvgA	evgA
b2370	sensory histidine kinase EvgS	evgS
b2371	acetyl-CoA:oxalate CoA-transferase	yfdE
b2372	putative transport protein YfdV	yfdV
b2373	oxalyl-CoA decarboxylase	oxc
b2374	formyl-CoA transferase	frc
b2375	protein YfdX	yfdX
b2376	colanic acid synthesis putative lipoprotein YpdI	ypdI
b2377	DUF2545 domain-containing protein YfdY	yfdY
b2378	palmitoleoyl acyltransferase	lpxP
b4680	putative membrane protein YpdK	ypdK
b2379	glutamate--pyruvate aminotransferase AlaC	alaC
b2380	sensory histidine kinase YpdA	ypdA
b2381	DNA-binding transcriptional activator YpdB	ypdB
b2382	putative AraC-type DNA-binding transcriptional regulator YpdC	ypdC
b2383	putative PTS multiphosphoryl transfer protein FryA	fryA
b2384	broad-specificity exoaminopeptidase	ypdE
b2385	aminopeptidase	ypdF
b2386	putative PTS enzyme IIC component FryC	fryC
b2387	putative PTS enzyme IIB component FryB	fryB
b2388	glucokinase	glk
b2389	putative transport protein YfeO	yfeO
b2390	DUF2502 domain-containing protein YpeC	ypeC
b2392	Mn(2(+))/Fe(2(+)): H(+) symporter MntH	mntH
b2393	nucleoside:H(+) symporter NupC	nupC
b2394	putative IS186/IS421 transposase	insL-3
b2395	putative c-di-GMP phosphodiesterase PdeA	pdeA
b2398	putative DNA-binding transcriptional regulator YfeC	yfeC
b2399	putative DNA-binding transcriptional regulator YfeD	yfeD
b2400	glutamate--tRNA ligase	gltX
b2405	DNA-binding transcriptional activator XapR	xapR
b2406	xanthosine:H(+) symporter XapB	xapB
b2407	xanthosine phosphorylase	xapA
b2408	conserved outer membrane protein YfeN	yfeN
b2409	putative LysR-type DNA-binding transcriptional regulator YfeR	yfeR
b2410	putative solute:Na(+) symporter	yfeH
b4546	PF12843 family protein YpeB	ypeB
b2411	DNA ligase	ligA
b2412	cell division protein ZipA	zipA
b2413	sulfate:H(+) symporter	cysZ
b2414	O-acetylserine sulfhydrylase A	cysK
b2415	phosphocarrier protein HPr	ptsH
b2416	PTS enzyme I	ptsI
b2417	Enzyme IIA(Glc)	crr
b2418	pyridoxal kinase I	pdxK
b2419	protein YfeK	yfeK
b2420	conserved protein YfeS	yfeS
b2421	cysteine synthase B	cysM
b2422	sulfate/thiosulfate ABC transporter ATP binding subunit	cysA
b2423	sulfate/thiosulfate ABC transporter inner membrane subunit CysW	cysW
b2424	sulfate/thiosulfate ABC transporter inner membrane subunit CysU	cysU
b2425	thiosulfate/sulfate ABC transporter periplasmic binding protein CysP	cysP
b2426	putative oxidoreductase	ucpA
b2427	DNA-binding transcriptional dual regulator MurR	murR
b2428	N-acetylmuramic acid 6-phosphate etherase	murQ
b2429	N-acetylmuramic acid-specific PTS enzyme IICB component/anhydro-N-acetylmuramic acid transporter	murP
b2430	penicillin binding protein 4B	yfeW
b2431	porphyrinogen peroxidase	yfeX
b2432	DUF1131 domain-containing lipoprotein YfeY	yfeY
b2433	putative inner membrane protein	yfeZ
b2434	putative acetyltransferase YpeA	ypeA
b2435	N-acetylmuramoyl-L-alanine amidase A	amiA
b2436	coproporphyrinogen III oxidase	hemF
b2437	putative AraC-type transcriptional regulator EutR	eutR
b2438	putative structural protein%2C ethanolamine utilization microcompartment	eutK
b2439	putative structural protein%2C ethanolamine utilization microcompartment	eutL
b2440	ethanolamine ammonia-lyase subunit beta	eutC
b2441	ethanolamine ammonia-lyase subunit alpha	eutB
b2442	CPZ-55 prophage%3B putative phage integrase IntZ	intZ
b2443	CPZ-55 prophage%3B uncharacterized protein YffL	yffL
b2444	CPZ-55 prophage%3B uncharacterized protein YffM	yffM
b2445	CPZ-55 prophage%3B uncharacterized protein YffN	yffN
b2446	CPZ-55 prophage%3B uncharacterized protein YffO	yffO
b2447	CPZ-55 prophage%3B uncharacterized protein YffP	yffP
b2448	CPZ-55 prophage%3B uncharacterized protein YffQ	yffQ
b2449	CPZ-55 prophage%3B uncharacterized protein YffR	yffR
b2450	CPZ-55 prophage%3B uncharacterized protein YffS	yffS
b2451	reactivating factor for ethanolamine ammonia-lyase EutBC	eutA
b2452	putative inner membrane protein	eutH
b2453	putative alcohol dehydrogenase in ethanolamine utilization	eutG
b2454	putative chaperonin%2C ethanolamine utilization protein	eutJ
b2455	putative aldehyde dehydrogenase%2C ethanolamine utilization protein	eutE
b2456	putative carboxysome structural protein	eutN
b2457	putative structural protein%2C ethanolamine utilization microcompartment	eutM
b2458	phosphate acetyltransferase EutD	eutD
b2459	putative ethanolamine utilization cobalamin adenosyltransferase	eutT
b2460	putative ethanolamine utilization protein EutQ	eutQ
b2461	putative ethanolamine utilization protein EutP with nucleoside triphosphate hydrolase domain	eutP
b2462	putative structural protein%2C ethanolamine utilization microcompartment	eutS
b2463	malate dehydrogenase	maeB
b2464	transaldolase A	talA
b2465	transketolase 2	tktB
b2466	DUF1176 domain-containing protein YpfG	ypfG
b2467	GDP-mannose hydrolase	nudK
b2468	putative oxidoreductase Fe-S subunit AegA	aegA
b2469	sensory histidine kinase NarQ	narQ
b2470	multidrug efflux pump RND permease AcrD	acrD
b4606	uncharacterized protein YpfM	ypfM
b2471	putative reductase YffB	yffB
b2472	succinyl-diaminopimelate desuccinylase	dapE
b4547	UPF0370 protein YpfN	ypfN
b2473	esterase YpfH	ypfH
b2474	tRNA(Met) cytidine acetyltransferase	tmcA
b2475	uncharacterized protein YpfJ	ypfJ
b2476	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC
b2477	outer membrane protein assembly factor BamC	bamC
b2478	4-hydroxy-tetrahydrodipicolinate synthase	dapA
b2479	putative transcriptional regulator GcvR	gcvR
b2480	thiol peroxidase	bcp
b2481	hydrogenase 4 component A	hyfA
b2482	hydrogenase 4 component B	hyfB
b2483	hydrogenase 4 component C	hyfC
b2484	hydrogenase 4 component D	hyfD
b2485	hydrogenase 4 component E	hyfE
b2486	hydrogenase 4 component F	hyfF
b2487	hydrogenase 4 catalytic subunit HyfG	hyfG
b2488	hydrogenase 4 component H	hyfH
b2489	hydrogenase 4 catalytic subunit HyfI	hyfI
b2490	putative hydrogenase 4 assembly protein	hyfJ
b2491	DNA-binding transcriptional activator HyfR	hyfR
b2492	putative formate transporter	focB
b2493	putative transporter YfgO	yfgO
b2494	beta-barrel assembly-enhancing protease	bepA
b2495	putative oxidoreductase YfgD	yfgD
b2496	inibitor of reinitiation of DNA replication	hda
b2497	hypothetical protein	uraA
b2498	uracil phosphoribosyltransferase	upp
b2499	phosphoribosylformylglycinamide cyclo-ligase	purM
b2500	phosphoribosylglycinamide formyltransferase 1	purN
b2501	polyphosphate kinase	ppk
b2502	exopolyphosphatase	ppx
b2503	cyclic di-GMP phosphodiesterase PdeF	pdeF
b2504	protein YfgG	yfgG
b2505	lipoprotein YfgH	yfgH
b2506	nalidixic acid resistance protein YfgI	yfgI
b2507	GMP synthetase	guaA
b2508	inosine 5'-monophosphate dehydrogenase	guaB
b2509	exodeoxyribonuclease VII subunit XseA	xseA
b2510	zinc ribbon domain-containing protein YfgJ	yfgJ
b2511	50S ribosomal subunit stability factor	der
b2512	outer membrane protein assembly factor BamB	bamB
b2513	ancillary SecYEG translocon subunit	yfgM
b2514	histidine--tRNA ligase	hisS
b2515	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	ispG
b2516	transmembrane component of cytoskeleton	rodZ
b2517	23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase	rlmN
b2518	nucleoside diphosphate kinase	ndk
b2519	peptidoglycan glycosyltransferase PbpC	pbpC
b2520	alpha2-macroglobulin	yfhM
b2521	3-mercaptopyruvate sulfurtransferase	sseA
b2522	protein SseB	sseB
b2523	aminopeptidase B	pepB
b2524	accessory iron-sulfur cluster assembly protein IscX	iscX
b2525	reduced ferredoxin	fdx
b2526	iron-sulfur cluster biosynthesis chaperone HscA	hscA
b2527	co-chaperone for [Fe-S] cluster biosynthesis	hscB
b2528	iron-sulfur cluster insertion protein IscA	iscA
b2529	scaffold protein for iron-sulfur cluster assembly	iscU
b2530	cysteine desulfurase	iscS
b2531	DNA-binding transcriptional dual regulator IscR	iscR
b2532	tRNA Cm32/Um32 methyltransferase	trmJ
b2533	inositol-phosphate phosphatase	suhB
b2534	putative peptidase	yfhR
b2535	stationary phase inducible protein CsiE	csiE
b2536	putative 3-phenylpropionate transporter	hcaT
b4706	protein IroK	iroK
b2537	DNA-binding transcriptional dual regulator HcaR	hcaR
b2538	putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha	hcaE
b2539	putative 3-phenylpropionate/cinnamate dioxygenase subunit beta	hcaF
b2540	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit	hcaC
b2541	2%2C3-dihydroxy-2%2C3-dihydrophenylpropionate dehydrogenase	hcaB
b2542	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit	hcaD
b2543	putative inner membrane protein	yphA
b2544	putative aldose 1-epimerase YphB	yphB
b2545	putative zinc-binding dehydrogenase YphC	yphC
b2546	putative ABC transporter membrane subunit YphD	yphD
b2547	putative ABC transporter ATP-binding protein YphE	yphE
b2548	putative ABC transporter periplasmic binding protein YphF	yphF
b2549	DUF5107 domain-containing protein YphG	yphG
b2550	putative DNA-binding transcriptional regulator%2C NAGC-like	yphH
b2551	serine hydroxymethyltransferase	glyA
b2552	nitric oxide dioxygenase	hmp
b2553	nitrogen regulatory protein PII-1	glnB
b2554	DNA-binding transcriptional activator GlrR	glrR
b2555	outer membrane lipoprotein QseG	qseG
b2556	sensory histidine kinase GlrK	glrK
b2557	phosphoribosylformylglycinamide synthetase	purL
b2558	membrane-bound lytic murein transglycosylase F	mltF
b2559	tRNA adenosine(34) deaminase	tadA
b2560	phosphatidylglycerophosphatase C	pgpC
b2561	putative DNA-binding transcriptional regulator YfhH	yfhH
b2562	putative 4Fe-4S cluster-containing protein YfhL	yfhL
b4687	toxic peptide ShoB	shoB
b2563	holo-[acyl-carrier-protein] synthase	acpS
b2564	pyridoxine 5'-phosphate synthase	pdxJ
b2565	DNA repair protein RecO	recO
b2566	30S ribosomal subunit maturation GTPase Era	era
b2567	RNase III	rnc
b2568	signal peptidase I	lepB
b2569	elongation factor 4	lepA
b2570	protein RseC	rseC
b2571	anti-sigma factor stabilizing protein RseB	rseB
b2572	anti-sigma factor	rseA
b2573	RNA polymerase sigma E factor	rpoE
b4725	rpoE leader peptide	rseD
b2574	L-aspartate oxidase	nadB
b2575	tRNA m(6)A37 methyltransferase	yfiC
b2576	ATP-dependent RNA helicase SrmB	srmB
b2577	putative LysR-type DNA-binding transcriptional regulator YfiE	yfiE
b2578	cysteine/O-acetylserine exporter EamB	eamB
b2579	stress-induced alternate pyruvate formate-lyase subunit	grcA
b2580	uracil-DNA glycosylase	ung
b2581	putative methyltransferase	yfiF
b2582	reduced thioredoxin 2	trxC
b2583	conserved protein YfiP	yfiP
b2584	peptidyl-lysine acetyltransferase	patZ
b2585	phosphatidylserine synthase	pssA
b2586	protein YfiM	yfiM
b2587	alpha-ketoglutarate:H(+) symporter	kgtP
b2592	ClpB chaperone	clpB
b2593	polyphenol oxidase YfiH	pgeF
b2594	23S rRNA pseudouridine(1911/1915/1917) synthase	rluD
b2595	outer membrane protein assembly factor BamD	bamD
b2597	stationary phase translation inhibitor and ribosome stability factor	raiA
b2598	phe operon leader peptide	pheL
b2599	fused chorismate mutase/prephenate dehydratase	pheA
b2600	fused chorismate mutase/prephenate dehydrogenase	tyrA
b2601	3-deoxy-7-phosphoheptulonate synthase%2C Tyr-sensitive	aroF
b2602	DUF2799 domain-containing lipoprotein YfiL	yfiL
b2603	DUF4154 domain-containing protein YfiR	yfiR
b2604	diguanylate cyclase DgcN	dgcN
b2605	lipoprotein YfiB	yfiB
b2606	50S ribosomal subunit protein L19	rplS
b2607	tRNA m(1)G37 methyltransferase	trmD
b2608	ribosome maturation factor RimM	rimM
b2609	30S ribosomal subunit protein S16	rpsP
b2610	signal recognition particle protein component	ffh
b2611	cytochrome c assembly family protein	ypjD
b4461	putative inner membrane protein	yfjD
b2614	nucleotide exchange factor GrpE	grpE
b2615	NAD kinase	nadK
b2616	DNA repair protein RecN	recN
b2617	outer membrane protein assembly factor BamE	bamE
b2618	putative component of the Rsx system	yfjF
b2619	ribosome association toxin RatA	ratA
b2620	SsrA-binding protein	smpB
b2622	CP4-57 prophage%3B integrase	intA
b2623	CP4-57 prophage%3B protein YfjH	yfjH
b2624	CP4-57 prophage%3B DNA-binding transcriptional activator AlpA	alpA
b2625	CP4-57 prophage%3B protein YfjI	yfjI
b2626	CP4-57 prophage%3B protein YfjJ	yfjJ
b2627	CP4-57 prophage%3B putative helicase YfjK	abpB
b2628	CP4-57 prophage%3B anti-bacteriophage protein	abpA
b2629	CP4-57 prophage%3B protein YfjM	yfjM
b2630	CP4-57 prophage%3B RNase LS%2C toxin of the RnlAB toxin-antitoxin system	rnlA
b2631	CP4-57 prophage%3B antitoxin RnlB	rnlB
b2632	CP4-57 prophage%3B putative GTP-binding protein YfjP	yfjP
b2633	CP4-57 prophage%3B protein YfjQ	yfjQ
b2634	CP4-57 prophage%3B putative DNA-binding transcriptional regulator	yfjR
b2635	CP4-57 prophage%3B uncharacterized protein YpjK	ypjK
b2636	CP4-57 prophage%3B inner membrane lipoprotein YfjS	yfjS
b2637	CP4-57 prophage%3B uncharacterized protein YfjT	yfjT
b2638	CP4-57 prophage%3B ArsC family protein YfjU	yfjU
b2641	CP4-57 prophage%3B putative arsenite transporter%2C N-terminal fragment	yfjV
b2642	CP4-57 prophage%3B uncharacterized protein YfjW	yfjW
b4644	putative UPF0401 protein YpjI	ypjI
b2643	CP4-57 prophage%3B putative antirestriction protein	yfjX
b2644	CP4-57 prophage%3B RadC-like JAB domain-containing protein YfjY	yfjY
b4548	CP4-57 prophage%3B DUF987 domain-containing protein YpjJ	ypjJ
b2645	CP4-57 prophage%3B putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	yfjZ
b2646	CP4-57 prophage%3B toxin of the YpjF-YfjZ toxin-antitoxin system	ypjF
b2647	adhesin-like autotransporter YpjA	ypjA
b2648	putative invertase fragment	pinH
b2649	DUF5508 domain-containing protein YpjB	ypjB
b2650	DUF5507 domain-containing protein YpjC	ypjC
b4462	putative uncharacterized protein YgaQ	ygaQ
b2659	PF08943 family protein CsiD	csiD
b2660	L-2-hydroxyglutarate oxidase	lhgO
b2661	NADP(+)-dependent succinate-semialdehyde dehydrogenase	gabD
b2662	4-aminobutyrate aminotransferase GabT	gabT
b2663	4-aminobutyrate:H(+) symporter	gabP
b2664	DNA-binding transcriptional repressor CsiR	csiR
b2665	K(+) binding protein	kbp
b2666	Pmp3 family protein	yqaE
b2667	putative DNA-binding transcriptional regulator YgaV	ygaV
b2668	thiosulfate sulfurtransferase YgaP	ygaP
b2669	DNA-binding transcriptional repressor StpA with RNA chaperone activity	stpA
